frame,id,x,y
5,1,5007,1670
5,2,507,1623
5,3,2922,1370
5,4,4799,1520
5,5,3545,1431
5,6,4505,1431
6,1,5007,1673
6,2,507,1621
6,3,2923,1371
6,4,4798,1525
6,5,3540,1433
6,6,4504,1431
7,1,5006,1675
7,2,507,1620
7,3,2930,1371
7,4,4798,1530
7,5,3538,1432
7,6,4505,1430
8,1,5007,1663
8,2,507,1621
8,3,2930,1370
8,4,4798,1530
8,5,3535,1429
8,6,4505,1430
9,1,5005,1660
9,2,509,1621
9,3,2932,1371
9,4,4798,1529
9,5,3532,1428
9,6,4506,1430
10,1,5004,1658
10,2,510,1620
10,3,2934,1371
10,4,4798,1527
10,5,3528,1431
10,6,4506,1431
11,1,5000,1661
11,2,511,1621
11,3,2936,1370
11,4,4798,1530
11,5,3527,1432
11,6,4506,1431
12,1,4997,1660
12,2,510,1621
12,3,2930,1368
12,4,4797,1529
12,5,3528,1433
12,6,4507,1430
12,unknown_1,2557,1367
13,1,4991,1662
13,2,507,1620
13,3,2922,1366
13,4,4798,1527
13,5,3533,1434
13,6,4507,1430
13,unknown_1,2556,1359
14,1,4988,1663
14,2,507,1620
14,3,2925,1365
14,4,4799,1526
14,5,3538,1437
14,6,4507,1430
14,unknown_1,2556,1363
15,1,4984,1665
15,2,507,1620
15,3,2915,1362
15,4,4800,1516
15,5,3539,1444
15,6,4508,1430
15,unknown_1,2555,1368
16,1,4981,1666
16,2,508,1620
16,3,2920,1367
16,4,4801,1512
16,5,3541,1433
16,6,4507,1431
16,unknown_1,2555,1372
17,1,4975,1666
17,2,508,1620
17,3,2920,1371
17,4,4802,1509
17,5,3548,1431
17,6,4508,1434
17,unknown_1,2555,1373
18,1,4971,1667
18,2,508,1619
18,3,2914,1371
18,4,4803,1509
18,5,3551,1436
18,6,4508,1434
18,unknown_1,2555,1375
19,1,4974,1667
19,2,508,1619
19,3,2910,1371
19,4,4804,1508
19,5,3555,1431
19,6,4508,1437
19,unknown_1,2556,1372
20,1,4972,1668
20,2,507,1619
20,3,2907,1369
20,4,4805,1514
20,5,3556,1430
20,6,4509,1434
20,unknown_1,2557,1371
21,1,4954,1669
21,2,508,1619
21,3,2904,1370
21,4,4805,1514
21,5,3556,1427
21,6,4510,1432
21,unknown_1,2557,1371
22,1,4957,1671
22,2,508,1618
22,3,2903,1370
22,4,4806,1511
22,5,3558,1425
22,6,4511,1431
22,unknown_1,2557,1363
23,1,4957,1672
23,2,506,1619
23,3,2900,1369
23,4,4803,1509
23,5,3562,1424
23,6,4513,1430
23,unknown_1,2557,1361
24,1,4954,1674
24,2,508,1619
24,3,2899,1367
24,4,4803,1505
24,5,3564,1421
24,6,4513,1428
24,unknown_1,2557,1360
25,1,4952,1674
25,2,508,1620
25,3,2898,1366
25,4,4801,1508
25,5,3560,1419
25,6,4515,1429
25,unknown_1,2557,1355
26,1,4963,1675
26,2,504,1620
26,3,2900,1365
26,4,4803,1504
26,5,3557,1417
26,6,4516,1428
26,unknown_1,2557,1358
27,1,4955,1675
27,2,503,1621
27,3,2903,1365
27,4,4803,1502
27,5,3555,1418
27,6,4518,1426
27,unknown_1,2558,1363
28,1,4958,1675
28,2,508,1621
28,3,2905,1365
28,4,4805,1499
28,5,3553,1418
28,6,4519,1426
28,unknown_1,2561,1429
29,1,4960,1676
29,2,508,1621
29,3,2909,1365
29,4,4808,1483
29,5,3548,1421
29,6,4520,1426
29,unknown_1,2562,1452
30,1,4964,1676
30,2,509,1620
30,3,2909,1366
30,4,4809,1471
30,5,3548,1419
30,6,4520,1425
30,unknown_1,2562,1461
31,1,4969,1675
31,2,511,1620
31,3,2905,1368
31,4,4805,1486
31,5,3542,1427
31,6,4519,1425
31,unknown_1,2562,1471
32,1,4969,1673
32,2,509,1619
32,3,2905,1368
32,4,4803,1493
32,5,3538,1429
32,6,4521,1425
32,unknown_1,2563,1475
33,1,4969,1671
33,2,508,1619
33,3,2906,1369
33,4,4804,1496
33,5,3534,1428
33,6,4521,1426
33,unknown_1,2564,1473
34,1,4974,1671
34,2,509,1620
34,3,2907,1370
34,4,4804,1497
34,5,3530,1430
34,6,4522,1425
34,unknown_1,2563,1472
34,unknown_2,3630,1409
35,1,4974,1675
35,2,511,1622
35,3,2905,1370
35,4,4805,1498
35,5,3525,1430
35,6,4521,1423
35,unknown_1,2564,1471
35,unknown_2,3631,1408
36,1,4980,1676
36,2,513,1622
36,3,2907,1370
36,4,4807,1499
36,5,3519,1428
36,6,4521,1424
36,unknown_1,2565,1469
36,unknown_2,3636,1413
37,1,4983,1670
37,2,514,1622
37,3,2907,1370
37,4,4809,1506
37,5,3515,1432
37,6,4523,1423
37,unknown_1,2565,1400
37,unknown_2,3638,1418
38,1,4987,1667
38,2,516,1622
38,3,2908,1369
38,4,4812,1509
38,5,3521,1435
38,6,4525,1424
38,unknown_1,2568,1372
38,unknown_2,3639,1424
39,1,4998,1669
39,2,517,1622
39,3,2910,1370
39,4,4812,1505
39,5,3525,1440
39,6,4526,1425
39,unknown_1,2568,1367
39,unknown_2,3640,1429
40,1,4997,1668
40,2,518,1622
40,3,2913,1370
40,4,4812,1505
40,5,3521,1441
40,6,4528,1426
40,unknown_1,2568,1362
40,unknown_2,3641,1435
41,1,4996,1669
41,2,516,1622
41,3,2913,1371
41,4,4813,1507
41,5,3520,1441
41,6,4527,1425
41,unknown_1,2569,1363
41,unknown_2,3642,1440
42,1,4997,1669
42,2,515,1623
42,3,2915,1372
42,4,4812,1509
42,5,3525,1439
42,6,4527,1424
42,unknown_1,2570,1367
42,unknown_2,3644,1417
43,1,5002,1670
43,2,515,1623
43,3,2918,1372
43,4,4813,1509
43,5,3527,1436
43,6,4530,1426
43,unknown_1,2570,1368
43,unknown_2,3643,1416
44,1,5000,1670
44,2,516,1623
44,3,2917,1371
44,4,4814,1516
44,5,3530,1433
44,6,4532,1425
44,unknown_1,2570,1364
44,unknown_2,3641,1413
45,1,4997,1671
45,2,516,1622
45,3,2917,1371
45,4,4815,1515
45,5,3532,1433
45,6,4532,1425
45,unknown_1,2571,1370
45,unknown_2,3640,1411
46,1,5000,1671
46,2,515,1621
46,3,2917,1372
46,4,4816,1517
46,5,3535,1439
